sphere 0.4 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
2.31074,2.14513,0.496828,0.00399852,0.0222723
2.76121,2.14083,0.564246,0.00400834,0.0230374
3.08636,2.0663,0.485744,0.00464308,0.0296547
3.0549,2.17626,0.636011,0.00480217,0.0275908
3.03185,2.22778,0.873703,0.00484105,0.0271768
3.10603,2.18664,0.357718,0.00481319,0.0260792
3.08585,2.04569,0.296199,0.00487234,0.0250722
3.03866,2.14162,0.578068,0.00488286,0.0252014
3.06483,2.14711,0.550364,0.00484925,0.0270861
3.04197,2.09292,0.876282,0.00487723,0.0298861
3.12807,2.11724,0.878609,0.00491799,0.026249
3.12883,2.06231,1.0794,0.0050789,0.0260144
3.18442,2.26113,0.749464,0.00513475,0.0257937
0,2.15792,1.59525,0.00474864,0.0195179
0,1.92291,0.160694,0.00147089,0.00999533
0,1.91385,0.0124955,0.00102657,0.00897168
0,1.94415,0.000971653,0.000983828,0.00865529
sphere 1.2 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
0.610114,1.81505,3.52074E-39,0.0020784,0.0141658
0.257138,1.88535,4.56288E-40,0.0022114,0.0148696
2.6918,1.81938,3.54809E-41,0.00222689,0.0146195
0,1.86057,2.75916E-42,0.00228638,0.0150249
0,1.8377,1.4013E-45,0.00207512,0.0145188
0.291907,1.87462,1.4013E-45,0.00224071,0.0156234
1.41789,1.90502,1.4013E-45,0.00233027,0.0148578
0,1.98063,1.4013E-45,0.00232562,0.0152073
0,1.89948,1.4013E-45,0.00220863,0.0173031
0.49358,1.80864,1.4013E-45,0.00223373,0.0150327
0,1.89137,1.4013E-45,0.00223383,0.0150549
0.227145,1.85915,1.4013E-45,0.00284243,0.0151555
1.53461,1.9414,1.4013E-45,0.00320653,0.0171856
2.0473,1.87753,1.4013E-45,0.00319181,0.0179668
2.14638,1.90158,1.4013E-45,0.00298737,0.0172997
2.60195,1.91262,1.4013E-45,0.0030877,0.0163375
4.35352,2.04862,0.0518715,0.00340668,0.019432
4.24061,1.96976,0.293546,0.00360041,0.0226628
4.23915,1.93955,0.302678,0.00361909,0.0198337
4.15821,1.96562,0.271214,0.00370819,0.0184307
4.34097,1.958,0.335063,0.00349161,0.020499
4.44025,1.9393,0.391321,0.00353289,0.0197792
4.4554,2.00977,0.862201,0.00352182,0.0242172
4.48667,2.01989,0.764271,0.00356226,0.0241741
4.43522,1.85785,0.671809,0.00355873,0.0200372
4.46954,1.89733,0.682857,0.00355764,0.0272801
4.29882,1.77197,0.711658,0.00348492,0.0232809
4.4342,1.80813,0.496691,0.00349604,0.0213416
4.39529,1.87108,0.61357,0.00348554,0.0200678
4.33218,1.83844,0.349259,0.00346601,0.024601
4.20852,1.906,0.345308,0.00344596,0.02538
5.73988,1.87461,0.315906,0.00351735,0.0228263
5.71301,1.83579,0.318278,0.00421201,0.0267217
5.47644,1.89445,0.460794,0.00434313,0.0274925
5.71766,1.91226,0.359083,0.00435632,0.0305542
5.75128,1.80568,0.404106,0.00430993,0.0276185
5.83165,1.80728,0.500126,0.00432848,0.0266941
